"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","Score"
"100",3,2,2,1,3,3,1,3,3,3,3,3,30
"101",2,2,2,1,3,3,2,1,3,2,2,3,26
"102",2,3,3,1,3,3,3,1,3,1,2,3,28
"103",2,3,1,1,3,3,3,3,3,2,3,3,30
"104",3,3,3,1,3,3,1,2,3,1,1,3,27
"105",2,1,1,1,3,3,1,1,3,2,1,3,22
"106",2,1,2,1,3,3,1,1,3,1,1,2,21
"107",2,2,2,2,3,3,1,1,3,2,3,3,27
"108",3,3,3,1,3,2,1,2,3,3,3,3,30
"109",3,3,3,3,1,3,3,3,3,3,3,3,34
"110",2,3,3,1,3,2,3,3,2,2,3,3,30
"111",3,3,3,2,3,3,3,1,3,2,3,3,32
"112",3,3,3,2,3,3,3,3,3,3,3,2,34
"113",3,3,3,2,3,3,3,3,3,3,3,2,34
"114",3,3,3,2,3,3,3,1,3,2,3,3,32
"115",2,2,1,1,3,3,3,2,3,2,1,3,26
"116",3,3,3,1,3,3,3,2,3,3,3,3,33
"117",1,1,2,1,3,2,3,1,3,1,2,3,23
"118",1,3,1,2,3,3,2,2,3,2,3,2,27
"119",1,1,3,3,3,3,3,1,3,1,1,3,26
"120",2,2,1,2,1,3,3,1,3,3,2,3,26
"121",2,3,1,1,3,3,3,2,3,1,2,2,26
"122",2,2,1,3,3,3,3,1,3,1,2,3,27
